col_1,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Field Number,SPECIES,SEX,DATE,1966,LOCATION,,FAT CON .,REproduction,,Remarks,,,,
2259,PhAsthow rubricAndA,#NAME?,6-Jul-56,,180 05'N 160 40' W,"670""",,OUA A' IL 5/225 -pota4me,Color watss,,,,Huber 836,13
60,Pt. ExterNA ExterNA,,7-Jul,,150 Il'N 1830 19'W,473.7,,L . ovum / mm,,,,,Chandler 9,
61,,,,,15 03'N 1630 26' W,429,,,,,ESB,,BALcomb 103,
62,,0,8-Jul,,110 38'N 166 0 23 W,,very light,DvAry 8X 44-1,,,,,21,
63,it hypoluca NigriDENNIS,No,9-Jul,,110 34' N 1660 27'W,134.7,Light - mad,testss 2x1 mm (black ),,BES,,,Huber 837,
64,SterNA tuscatA,,,,090 56N 1680 06'W,,1154+,JonAds Not found.,color Notes,,,,PEARSON 23,
65,Puffinus pacificus,,,,,360,Light - med.,RODAry 7x 5-2m,,,,,Huber 838,
29,,,,,,365,med.,OUA MINUTE,,,,,839,
68,PhaEthon rubricandA,KO,,,690 18'N 168025 W,849,Very halt,+EstEs 12 x 6mm,Color Watts 9 -007,,ES,,846,
70,Puffinus puffinus NEwEllii,,10-Jul,,06 0 19'N 1710 29' W,422,,oug granular,color Notss 4-010 EBS,H-00 9,,,PEArson 24,
71,Pt. hypoluca Nigri PENNis,,,,050 35'N 1720 09'W,,Very light,Ov Ary 6 x 2mm,colarvates,4-011 BES,,,Bulmer 935,
72,Puffivins pacificus,31,,,05 22'N 1720 21' w,410,,"L. 7. 4x/mm dark,",colorNotis,,,,BALcom5 104,
23,,,,,,442,,Ovary 5x4mm,color vates,,SB,,Chandler 10,
74,,8,,,2:30 44'N 173059 W,315,,LT 2x1mm RT 1XImm,,,,,PEARSON 25,
75,,,13 tily,,00 47'N 1760 57W,318.7,Light,,ColorNatEs,,5,SkElEton,Hoff,
76,SterNA EuscatA,,,,0 0 47 N 1760 58' W,207.5,,L+ 3X/mM Rt 2xl --,colorwatss,Flus **,,SKIN,Hott 63,
77,,,,,00 47'N 176 14 W,160.5,,,,,,,Huber 890,
78,,,,,0 46'N 177 34'W,179,,,,,,,891,
79,,,,,,186,,NOBP,molt,,,,892,
80,Puttivis pacificus,,,,0 0 46'N 1770 36 'W,364,klavy,120765 3X2mm,Color Notes,,S,SkElston,Hoff 64,
81,StERNA fuscato,,14-Jul,,10 0ON 176 520,175,,Ovary 5×4.1m,color wotes,,,,52,
82,,,,,10 05'N 176 0 55 W,,,,,,,,Haber 893,
83,Puttinis Pacificus,,,,0 50'N 176 43 W,371,,tEstEs 4x 2 mm,color watis,,EBS,,68,
84,SterNA EusuntA,,15 they,,"0 "" 58'N 176 0 37'W",157,NO,SranulAr,,,BS,Skin,Huber 841,
85,,,,,1 0 03' N 176 0 36' W,,,,,,,Alcoholic,894,
86,,,,,100 I'N 1760 36'W,172,light,1. 604 /mm.,,,,Skeleton,Hoff 53,
