col_1,1,2,3,4,5,6,7,8,9,10,11,12,13
23 16,SterNA fuscAtA,,17 duly,00 50'N 176 20W,159.0,,,,,,,,Haber 872
17,,,,,162.6,,,,,,,,87/ 8
18,,,,,11.3,,,,,,,,
19,,,,0048'N 176 33/0,147.9,,,,,,,,869.
41,,,1!,28N 172 31'00,7/,,,,,,,Alco,Huber 906
20,,,二,"0 0 42'N 176"" 16' W",166.7,,,,,,,,三
21,,,,OOHI'N 176º15'0,,,,18luz print,,,,,910
22,,,,,203,,,,,,,,867
23,,,,@ 30 N 1750 38' W,157.4,,,,,,,,866
24,FregatA Ariel,87,,0'27 N 1750 29/W,,,RT 18X / 3MM,C.N .,,,,Skin,Chandler 11
25,,,,00 27'N / 750 29/W,,Mod,L. OUum 2x 2mm,,,,,,Bulmer 939
26,Pt. h. NigripINNis,,,0 0 08N 175 0 54W,871,,L. 15>+15 1X 2mm,,,BS,,,BAKcomb 107
27,StarNA fuscAtA,,18 July,0º HON 1760 5210,,,,,,,,,Huber 897
34,,,,,184,,,CN,,,,,901
28,,No,,0º 38'₪ 1760 54'w,160,,+$ *** 5 4×3mm,,,,,,Ho€€ 56
29,,,,035' N 1770 01 W,147,,,,,,,,Huber 878
30,PhAsthow rubricAndA,,,10 14'N 1750 56'W,920,LEAvy,L. ouum4min,,,,,,Hott 4
3/,Pt. L. NigripsUNIT,,1',00 03' N 1780 l'W,152,heavy,1.+25+15 1× 1 mm,,4-014,,,SKIN,Balcond 108
32,StarNA fuSCATA,,19 July,0 0 29'N 176 0 48W,,,,,,,,,Huber 899
33,,,,00 30'N 176º 470,193,,,,,,,1.1,1 1 900
35,,0+,,0º 34'₪ 176º 44'w,198,hlavy,Qvary 10x5mm,,,5,,,Hoff 57
36,,,20 July,6º OS'N 1720 41'W,187,,,,,,,,Huber 902
37,,,,00 18'N 1760 41 W,19 2,,,,,,,,903
38,,,,20 ~ 1760 41w,168,,,,,,,,904
39,,,=,26' N 1760 4 1'W,216,,,,,,,,905
40,,,21 July,30'N 1760 31'W,79,HEAVY,gowAds destroyed,,,3 5,,,Hote 58
42,,-,,0 28'N 17 6 º 31'W,169,,,,,,,1/,907
43,,,,,197,,725 /55 5×4 0mm,,,,,Skal,Hoff 59:
44,,,,11,173,Light,BP complete,M,,,S,,11 605
