number,name,sex,date,geo,col_6,coloring,description,notes,col_10,col_11
2345,SterNA fusCATA,,21 July,8 24' N 1760 30 W,199.5,light,すさけis 3×コード,5,SkEl,Hoff 61
46,11,,,00 28' N 1760 29' W,206,,,,Alco,Huber 908
47,Fregata Ariel,,1 (,00 24' N 176º 30 W,,very light,+Estes 7x 3 -T,1S,SKIN,843
48,,,,0º 24'N 176' 30'00,,,1.4. 108 14 mm,Nomilf,=,BALcomb 106
49,,,二,"6º 23'N 176"" 30'W",,,L. OUum 3 Min DE,BS,5 kč/,33
50,SterNA fuSCALA,,,OP / 20'N 1760 30'W,189,,,,Alco,Huber 848
51,-,,二,"10"" ""17'N 176º 31'W",194,,,,,849
. 52,,,,11,,,,,,8 56
53,二,,,,,,,,,851
54,二,,,,2 10.9,,,,,852
55,,,,,197.5,,,,,853
. 56,,,,,,light - med,,FWS # 953-01315,Skin,912
57,,,1 (,,197.8,,,,Alco,854
:58,,,二,,,,,,11,11
159,,to,,,,slight,ouwry 11X5mm,Dlus streamerEd 5,SKIN,Bulmer 953
. 60,,,11,1/,,11,L.+istes 6x 3.,Fus 843-35324,,952
. 61,,,,,,,L.ovum /mm,S,,PinrSo~ 37
62,,-,,,,,,,A co,850
1 63,,-,,,,,,,,857
. 64,,一,,,,,,,,858
. 65,,,,,,,,,,859
. 66,11,一,,,,,,,,860
. 67,,,,,,,,,,86/
'68,,,,,,,,,1/,862
. 69,,,,,,,,,11,863
. 70,,,,41,,,,,,844
71,か,,,,,,,,,845
. 72,OCEANOdromA LEucaHA,,,17,40.5,Light,Rt 1 × . 5mm,S,Skin,Bulmer 936
73,,,,N,42.5,11,LitEstis 1 x 0 5 mm,S,,Bulmer 955
