col_1,1,2,3,4,5,6,7,8,9,10,11
2374 Pt. h. NigriPENNis,,No,21 July,0 0 24' N 1760 30'W,,154,,R+ 2x1mm,,BS,Bulmer 937
2375,PattiNis pacificus,,,00 38' N 1760 35' W,457,,,725 /75 4 X4mm,,3 S,Huber 842
76,StarNA fuscAtA,,22 dny,60 27's 1750 57W,,192,,L. testes 4 x2 mm,,,Bulaor 938
77,Fragata Ariil,,,60 35's 1750 52'W,,,,,,,Huber 909
78,,,,00 35' 5 1750 5l'W,,,,RT 15 x 6 mm,,,PEARSON 34
79,StirNA fusente,,23 Jily,3º 40'5 174.33'W,,,,,,,Huber 846
80,,,,,,,,,,,847
81,ProcolostarNA crowdER,,,030 25'5 1740 20'W,49,,,,,,
82,phasthow laptrus,,27 duly,8047's 172051'w,325,,,L.1 . 7×5mm,,,Bulmer 945
83,,-,3 Aug,100 36 5 1700 40'W,367,,,,,,Alco HubEr 887
84 pt. cooki,,,=,100 3115 1700 33lw,141,,Mody white,L. +15+15 2X/mm,,& S,Wingt SKN Bulmer 946
85,,,4 5Aug.,50 38'5 1650 281w,162,,"LETTHEBULL, L. Fishis 3x/24",,,CN (tistas Black Skin Chandler 18,
86 PT. Alba,,,,30 16' 5 163 0 17 'W,261,,mod,2. 72tis 2x/mm,,ここ,Skintwing Bulmer 956
87,Bygis Alla,,,20 29'S 1620 3014,7/,,Light.,OUR Very FINE,,V,Skin |Huber 923
88,NEso grigata alb .,,8 Aug,off tarvis Island,61,,,Fistas 6x4mm,,,Bulmır765
89 OchAnodromalEncorton 8,,,10 Aug.,00 20'5 1600 47 W,32.5,,Light,LT 11.5Mm,,smolt,Bulmer 969
90,,,14 August 1966,off Baker Island,169 g,,,,,,Huber 927
91,,,,,200 g,,LIGHT - med,3P to reFeatheral,rest of bits al uw preihe.,S.,
92,,,,,,,,R $ 3x 3 MM.,BP 1/10,CA,Huber 926
93,,,,,199 9.,,,R+ 3x71.,,,928
94,,,,,155g.,,,No B.P,,Malt,929
95,,,,,168g.,,,BP starting to refeather,,,930
96,,,,,185 g,,,BP Fitinthered,,,73/
97,,,,,211 g .,,,Rt Gx 4am .,BPrefeathered,Nomolt.,132
98,,,,,183 g.,,,Rt 2 x/mm,BP 4/10,,233
99,,,,,179 g.,,,1 - ounm Ham.,BP 8/10,,
24 00,,,151 Aug. 1966,0 16 W - 1750,173 g-,,,,,,skeleton HOFF 74
01,Sterna Fuscata,,16 Aug- 1966,040 N ~ 176040 W,166g.,,,endowed onderet,,5,Hold 75
62,Sterna fuscata,Fo,16 Aug. 1966,0 15' # 1760 42 00.,185g,,light fat,,,S,
